file,columns_removed
Areas_0.tsv,145
Inventory_2.tsv,0
SalesDetail_37.tsv,0
SaleHeader_29.tsv,0
SaleHeader_51.tsv,0
SaleHeader_13.tsv,0
SaleHeader_12.tsv,0
Plant_2.tsv,0
SaleHeader_56.tsv,0
SalesDetail_16.tsv,0
SaleHeader_41.tsv,0
Contacts_0.tsv,0
SalesDetail_62.tsv,0
SalesDetail_27.tsv,0
Product_5.tsv,2332
Inventory_5.tsv,0
SalesDetail_49.tsv,0
SaleHeader_27.tsv,0
SaleHeader_46.tsv,0
Plant_0.tsv,0
SalesDetail_63.tsv,0
SalesDetail_50.tsv,0
SaleHeader_42.tsv,0
Product_1.tsv,1287
InventoryAdjustment_1.tsv,96
SalesDetail_24.tsv,0
LabResult_1.tsv,0
SalesDetail_8.tsv,0
SaleHeader_54.tsv,0
Inventory_7.tsv,0
SalesDetail_39.tsv,0
SalesDetail_18.tsv,0
SaleHeader_7.tsv,0
SalesDetail_53.tsv,0
SaleHeader_15.tsv,0
SaleHeader_21.tsv,0
SalesDetail_54.tsv,0
SaleHeader_59.tsv,0
SaleHeader_39.tsv,0
SalesDetail_48.tsv,0
Inventory_0.tsv,3
SalesDetail_19.tsv,0
SalesDetail_6.tsv,3
SaleHeader_28.tsv,0
SalesDetail_30.tsv,0
SalesDetail_5.tsv,12
Inventory_15.tsv,0
SalesDetail_60.tsv,0
Inventory_12.tsv,2
SaleHeader_50.tsv,0
SaleHeader_35.tsv,0
SaleHeader_52.tsv,0
SalesDetail_15.tsv,0
SaleHeader_10.tsv,0
SalesDetail_25.tsv,0
Product_7.tsv,12072
Plant_8.tsv,0
SaleHeader_48.tsv,0
SalesDetail_56.tsv,0
SaleHeader_61.tsv,0
SaleHeader_40.tsv,0
SalesDetail_51.tsv,0
Inventory_1.tsv,0
SalesDetail_41.tsv,0
SalesDetail_2.tsv,0
SalesDetail_14.tsv,0
SalesDetail_34.tsv,0
SalesDetail_59.tsv,0
SalesDetail_47.tsv,0
SaleHeader_25.tsv,0
InventoryPlantTransfer_0.tsv,3
SalesDetail_11.tsv,0
SalesDetail_4.tsv,0
SaleHeader_11.tsv,0
SaleHeader_16.tsv,0
